Minnesota Timberwolves,82,Chicago Bulls,113,2011
Utah Jazz,97,Dallas Mavericks,103,2011
Toronto Raptors,120,Detroit Pistons,116,2011
Cleveland Cavaliers,95,Houston Rockets,110,2011
Memphis Grizzlies,84,Los Angeles Clippers,83,2011
Miami Heat,104,Sacramento Kings,83,2011
Orlando Magic,94,Los Angeles Clippers,85,2011
Los Angeles Lakers,99,New Jersey Nets,92,2011
Denver Nuggets,125,New York Knicks,129,2011
Cleveland Cavaliers,77,Oklahoma City Thunder,106,2011
New Orleans Hornets,70,Philadelphia 76ers,88,2011
Portland Trail Blazers,78,San Antonio Spurs,95,2011
Indiana Pacers,73,Chicago Bulls,92,2011
Milwaukee Bucks,103,Dallas Mavericks,99,2011
Portland Trail Blazers,73,Memphis Grizzlies,86,2011
New Orleans Hornets,84,Miami Heat,96,2011
Golden State Warriors,95,Utah Jazz,108,2011
Toronto Raptors,91,Charlotte Bobcats,97,2011
Orlando Magic,94,Denver Nuggets,111,2011
Atlanta Hawks,80,Detroit Pistons,103,2011
Minnesota Timberwolves,99,Golden State Warriors,108,2011
Sacramento Kings,105,Houston Rockets,118,2011
Philadelphia 76ers,82,New Jersey Nets,77,2011
Los Angeles Lakers,103,Washington Wizards,89,2011
Portland Trail Blazers,98,Dallas Mavericks,103,2011
Los Angeles Lakers,109,Indiana Pacers,94,2011
Charlotte Bobcats,80,Memphis Grizzlies,113,2011
Cleveland Cavaliers,95,Miami Heat,101,2011
Sacramento Kings,91,New Orleans Hornets,94,2011
Boston Celtics,118,New York Knicks,116,2011
Houston Rockets,105,Oklahoma City Thunder,117,2011
Los Angeles Clippers,91,Philadelphia 76ers,105,2011
Minnesota Timberwolves,122,Phoenix Suns,128,2011
Milwaukee Bucks,90,San Antonio Spurs,92,2011
Chicago Bulls,110,Toronto Raptors,93,2011
Atlanta Hawks,90,Boston Celtics,102,2011
San Antonio Spurs,113,Denver Nuggets,112,2011
Washington Wizards,89,New Jersey Nets,97,2011
Charlotte Bobcats,85,Atlanta Hawks,90,2011
Phoenix Suns,91,Dallas Mavericks,106,2011
Los Angeles Clippers,109,Detroit Pistons,88,2011
Memphis Grizzlies,87,Houston Rockets,103,2011
Cleveland Cavaliers,99,Indiana Pacers,108,2011
Utah Jazz,71,New Orleans Hornets,100,2011
Miami Heat,113,New York Knicks,91,2011
Sacramento Kings,87,Oklahoma City Thunder,102,2011
Los Angeles Lakers,93,Philadelphia 76ers,81,2011
Minnesota Timberwolves,102,Portland Trail Blazers,107,2011
New Jersey Nets,92,Toronto Raptors,98,2011
Los Angeles Clippers,100,Chicago Bulls,99,2011
New York Knicks,102,Cleveland Cavaliers,109,2011
Minnesota Timberwolves,113,Denver Nuggets,115,2011
Utah Jazz,95,Milwaukee Bucks,86,2011
Philadelphia 76ers,97,Orlando Magic,89,2011
Golden State Warriors,95,Portland Trail Blazers,96,2011
Memphis Grizzlies,106,San Antonio Spurs,112,2011
Miami Heat,95,Washington Wizards,94,2011
Indiana Pacers,88,Boston Celtics,99,2011
New Orleans Hornets,108,Detroit Pistons,111,2011
Atlanta Hawks,82,New Jersey Nets,89,2011
Phoenix Suns,113,Oklahoma City Thunder,110,2011
Houston Rockets,102,Sacramento Kings,93,2011
Los Angeles Lakers,120,Toronto Raptors,110,2011
Orlando Magic,81,Atlanta Hawks,91,2011
Utah Jazz,101,Cleveland Cavaliers,90,2011
Houston Rockets,121,Golden State Warriors,112,2011
New Orleans Hornets,93,Indiana Pacers,94,2011
Minnesota Timberwolves,90,Los Angeles Clippers,113,2011
Dallas Mavericks,98,Miami Heat,96,2011
Milwaukee Bucks,80,Portland Trail Blazers,106,2011
Phoenix Suns,110,San Antonio Spurs,118,2011
Charlotte Bobcats,75,Washington Wizards,108,2011
Oklahoma City Thunder,99,Charlotte Bobcats,81,2011
Philadelphia 76ers,76,Chicago Bulls,121,2011
Milwaukee Bucks,98,Los Angeles Lakers,79,2011
New Jersey Nets,101,Memphis Grizzlies,94,2011
Dallas Mavericks,105,Orlando Magic,99,2011
Golden State Warriors,117,Sacramento Kings,109,2011
Cleveland Cavaliers,84,Atlanta Hawks,98,2011
Philadelphia 76ers,80,Boston Celtics,84,2011
Houston Rockets,97,Los Angeles Clippers,92,2011
Utah Jazz,112,Minnesota Timberwolves,107,2011
New Jersey Nets,91,New Orleans Hornets,105,2011
Oklahoma City Thunder,98,New York Knicks,112,2011
Denver Nuggets,103,San Antonio Spurs,109,2011
Detroit Pistons,115,Toronto Raptors,93,2011
Chicago Bulls,87,Washington Wizards,80,2011
San Antonio Spurs,101,Orlando Magic,123,2011
Miami Heat,95,Phoenix Suns,83,2011
Milwaukee Bucks,84,Sacramento Kings,79,2011
Portland Trail Blazers,102,Golden State Warriors,109,2011
